,α值,顯著性
大魯閣,0.033,0.757
益航,-0.991,0.454
欣欣,-0.123,0.866
遠百,-0.400,0.476
三商,-0.055,0.926
高林,0.060,0.796
特力,0.075,0.843
統領,0.079,0.453
麗嬰房,-1.544,0.055
統一超,0.126,0.889
農林,-0.108,0.858
潤泰全,0.137,0.692
滿心,0.139,0.918
東凌KY,-0.776,0.164
淘帝KY,-0.544,0.700
客思達KY,-0.227,0.740
集雅社,0.213,0.598
床的世界,0.241,0.823
凱羿KY,-0.506,0.640
米斯特,0.295,0.405
京站,0.315,0.470
三商家購,0.317,0.789
振宇五金,0.356,0.470
寳陞,0.455,0.563
新洲,0.524,0.629
日成KY,-0.721,0.352
德記,0.547,0.191
全家,0.597,0.438
寶雅,0.603,0.352
南仁湖,0.622,0.136
台南KY,-1.211,0.385
大洋KY,-1.643,0.037
詩肯,0.639,0.246
上洋,0.642,0.172
來思達,0.671,0.681
金麗KY,-1.475,0.114
弘帆,0.719,0.345
阿瘦,-1.088,0.021
富邦媒,0.763,0.457
關中,0.784,0.740
明輝DR,1.713,0.049
邁達康,2.539,0.005
